approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,3.331907033920288,782.08904337883,172.20553922653198,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,8
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,3.1767594814300537,1081.8017556667328,170.01370882987976,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,2.7302942276000977,811.2825911045074,122.75047636032104,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,1.9821031093597412,715.8805544376373,163.15103030204773,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,3.237582206726074,1612.1007950305939,248.2600667476654,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,9
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,3.0967507362365723,1100.3354625701904,124.62143683433533,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,9
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,2.87738037109375,864.995049238205,216.4001853466034,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,3.537902355194092,1143.1308364868164,146.88463973999023,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,3,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,3.980989456176758,2585.8887345790863,279.95846247673035,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,33,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,3.7092792987823486,2196.6979570388794,218.8979709148407,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,9,10
