approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,1.4862754344940186,564.173273563385,398.9851264953613,0.09090909090909091,0.0,0.0,0.0,0.5,40,10
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,1.296727180480957,483.5242955684662,76.67798781394958,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,8
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,1.2830414772033691,642.0249862670898,308.8406147956848,0.09090909090909091,0.0,0.0,0.0,0.5,15,10
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,1.5561745166778564,581.5924322605133,101.44068789482117,1.0,1.0,1.0,1.0,1.0,1,8
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.4810926914215088,527.9852514266968,77.61951851844788,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,8
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.7679510116577148,411.3300926685333,83.92665457725525,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,5
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,1.5640246868133545,567.6169400215149,339.3914852142334,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,1.9007725715637207,588.8275501728058,241.1331386566162,0.09090909090909091,0.0,0.0,0.0,0.5,15,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,1.8228869438171387,634.0736751556396,179.3354151248932,0.09090909090909091,0.0,0.0,0.0,0.5,10,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,1.6359703540802002,792.7717621326447,165.21345734596252,0.09090909090909091,0.0,0.0,0.0,0.5,6,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.4380526542663574,682.9798336029053,225.83426523208618,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,4.366088390350342,904.3438119888306,123.04498481750488,1.0,1.0,1.0,1.0,1.0,1,10
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.8613536357879639,990.7778782844543,256.2558386325836,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,5,10
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,2.014341354370117,876.1097836494446,115.464120388031,0.09090909090909091,0.0,0.0,0.0,0.5,5,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,1.4165046215057373,554.1122629642487,58.41837763786316,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,9
