approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,0.7273731231689453,186.30618929862976,54.52923846244812,0.09090909090909091,0.0,0.0,0.0,0.5,15,10
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.7418975830078125,191.38352942466736,30.08832859992981,0.09090909090909091,0.0,0.0,0.0,0.5,8,10
PyGenProg,middle,1,10,sequential,F,3,30,1,10,33,11,0.7012689113616943,125.09348320960999,20.928900718688965,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,F,5,50,1,10,55,11,0.6831827163696289,138.37171125411987,20.44736933708191,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.6683628559112549,213.36847734451294,31.783143281936646,0.09090909090909091,0.0,0.0,0.0,0.5,8,10
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.926654577255249,139.13968658447266,19.79470443725586,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
