approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.8490824699401855,199.65992045402527,20.80520725250244,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,5
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.6887807846069336,288.45732831954956,18.4008846282959,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,30
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.9785325527191162,270.50526452064514,17.513340711593628,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,2
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.6911232471466064,342.9406986236572,65.19137048721313,0.09090909090909091,0.0,0.0,0.0,0.5,12
