approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,0.6363844871520996,218.4489152431488,19.795657634735107,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,12
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.8866240978240967,119.13769364356995,21.552626371383667,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,1,10,sequential,C,3,30,0,0,33,33,0.655937671661377,196.239506483078,74.97357773780823,0.09090909090909091,0.0,0.0,0.0,0.5,11
PyGenProg,middle,1,10,sequential,C,5,50,0,0,55,55,0.6997015476226807,146.59439373016357,36.17190408706665,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,1,10,sequential,C,10,100,0,0,110,110,0.7702875137329102,264.8174467086792,17.66421151161194,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,3
