approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,1.042055606842041,124.65885066986084,52.80716133117676,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.9429173469543457,134.30860447883606,52.26852750778198,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,1.0801799297332764,138.5635962486267,49.07384777069092,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.9058487415313721,285.2479181289673,191.4708092212677,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.0290515422821045,289.0966386795044,191.66935276985168,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.9558742046356201,305.9198372364044,186.79634618759155,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,1.0061140060424805,134.8432252407074,50.9852032661438,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.890448808670044,380.9642562866211,48.90497183799744,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,29,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.8520088195800781,383.1824996471405,47.86357522010803,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,23,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.8351564407348633,485.75361943244934,47.407673597335815,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,23,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.806128978729248,125.03320622444153,46.39254379272461,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.8485755920410156,235.38393640518188,48.66102719306946,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.0111329555511475,427.5235085487366,50.85618281364441,1.0,1.0,1.0,1.0,1.0,1,9
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.9947621822357178,570.0796821117401,55.19489789009094,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,17,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,1.0331761837005615,299.2071626186371,51.684897661209106,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,47,10
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.9950864315032959,204.3547682762146,44.67638945579529,1.0,1.0,1.0,1.0,1.0,1,7
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,1.1482877731323242,220.47873973846436,53.24064874649048,1.0,1.0,1.0,1.0,1.0,1,7
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,0.8519587516784668,141.68441343307495,43.101324796676636,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,1.0476479530334473,146.66927409172058,43.10799241065979,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,1.116142749786377,135.72009420394897,41.45234513282776,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,0.9408347606658936,184.51139068603516,41.02512001991272,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,1.1634635925292969,305.46540331840515,38.092052936553955,1.0,1.0,1.0,1.0,1.0,1,7
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,0.8968360424041748,425.8221561908722,46.74314045906067,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,46,10
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,0.8504095077514648,456.48148798942566,48.76040697097778,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,46,10
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,0.8655447959899902,175.09746932983398,39.119933128356934,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,1.844618558883667,140.88518023490906,45.21879005432129,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,0.9851024150848389,139.08376932144165,42.001280069351196,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,0.8951506614685059,139.20734333992004,44.565823554992676,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,calculator,1,10,sequential,B,0,0,1,1,2,2,1.7844390869140625,287.50145864486694,49.427658557891846,0.09090909090909091,0.0,0.0,0.0,0.5,32,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,0.9498636722564697,346.04064869880676,1562.102756023407,0.09090909090909091,0.0,0.0,0.0,0.5,26,10
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,1.0995395183563232,366.66499400138855,1561.4584367275238,0.09090909090909091,0.0,0.0,0.0,0.5,26,10
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,1.0585832595825195,374.5173454284668,1558.392202615738,0.09090909090909091,0.0,0.0,0.0,0.5,26,10
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,0.9743266105651855,366.75779914855957,1554.5908608436584,0.09090909090909091,0.0,0.0,0.0,0.5,26,10
