approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,0.9522514343261719,220.49195098876953,82.58183097839355,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,30,10
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,1.2266252040863037,295.15160512924194,59.3426558971405,1.0,1.0,1.0,1.0,1.0,1,9
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,0.9998412132263184,229.23227906227112,54.17625975608826,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,9
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,1.1775445938110352,226.57565331459045,47.123679637908936,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.7929630279541016,264.5591371059418,188.8898606300354,0.09090909090909091,0.0,0.0,0.0,0.5,29,10
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.0488696098327637,242.9704806804657,52.889467000961304,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.9565153121948242,272.8788719177246,57.376243114471436,1.0,1.0,1.0,1.0,1.0,2,9
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.7979958057403564,278.1081018447876,44.41852688789368,1.0,1.0,1.0,1.0,1.0,1,9
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.7671592235565186,496.2543103694916,55.84682536125183,1.0,1.0,1.0,1.0,1.0,32,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.8193378448486328,653.607171535492,55.62666296958923,1.0,1.0,1.0,1.0,1.0,32,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.787853479385376,300.73275685310364,57.86283016204834,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,43,10
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.7791507244110107,339.11923360824585,67.12936449050903,1.0,1.0,1.0,1.0,1.0,44,10
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.852424144744873,349.5899033546448,166.74422597885132,0.09090909090909091,0.0,0.0,0.0,0.5,12,10
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.8090300559997559,388.06924080848694,46.24345016479492,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,1.0275013446807861,122.96060943603516,46.0994291305542,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,2,1
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.8045949935913086,126.92100071907043,38.5843403339386,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,0.8027782440185547,181.08687210083008,42.97089433670044,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,0.7807607650756836,117.90876626968384,36.81945586204529,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,0.8334991931915283,148.15956830978394,40.29898738861084,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,0.8015191555023193,134.8519458770752,42.98612880706787,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,0.8040299415588379,125.69055318832397,37.86011719703674,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
