approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,1.455761194229126,130.3024868965149,53.34360456466675,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.7478747367858887,136.50326776504517,58.61575531959534,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,0.9377200603485107,151.0537292957306,82.74026203155518,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.9644036293029785,211.84896302223206,57.05039119720459,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.8081870079040527,147.84809494018555,49.51080393791199,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.0753388404846191,189.96133852005005,82.53220987319946,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.7928941249847412,128.87530541419983,51.56118392944336,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.8631176948547363,139.70858764648438,52.41073727607727,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.8658719062805176,150.22442245483398,51.71896028518677,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.8421392440795898,170.43059086799622,53.128217697143555,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.7908687591552734,333.213308095932,60.319628953933716,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,27,10
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.9752850532531738,390.46280908584595,55.73487305641174,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,6,10
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.881575345993042,264.000550031662,51.45586562156677,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.7975378036499023,830.328197479248,79.09181332588196,1.0,1.0,1.0,1.0,1.0,33,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,0.9953820705413818,133.81916761398315,43.592618465423584,1.0,1.0,1.0,1.0,1.0,1,1
