approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,1,sequential,B,0,0,1,10,11,11,1.3860259056091309,271.81265687942505,157.27214097976685,0.09090909090909091,0.0,0.0,0.0,0.5,8
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,2.0702383518218994,479.29453349113464,284.53935742378235,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,middle,1,1,sequential,F,5,5,1,10,10,11,3.96708083152771,325.6905074119568,284.72674536705017,0.09090909090909091,0.0,0.0,0.0,0.5,25
PyGenProg,middle,1,1,sequential,F,10,10,1,10,20,11,3.7610700130462646,310.0842545032501,216.21817421913147,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,1,sequential,F,30,30,1,10,60,11,5.332914590835571,502.911541223526,322.52586555480957,0.09090909090909091,0.0,0.0,0.0,0.5,32
PyGenProg,middle,1,1,sequential,F,50,50,1,10,100,11,4.5639166831970215,357.2188265323639,219.06145071983337,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,4.165190696716309,428.910635471344,210.64456176757812,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,3.034315824508667,469.4860246181488,271.17418479919434,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,7.209400177001953,658.3491261005402,268.7311432361603,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,3.7024085521698,490.4800205230713,241.11577939987183,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,1,sequential,V,5,5,1,10,11,10,3.129240036010742,349.7453291416168,241.7343406677246,0.09090909090909091,0.0,0.0,0.0,0.5,24
PyGenProg,middle,1,1,sequential,V,10,10,1,10,11,20,3.464045763015747,414.72467041015625,234.58337783813477,0.09090909090909091,0.0,0.0,0.0,0.5,24
PyGenProg,middle,1,1,sequential,V,30,30,1,10,11,60,2.5139424800872803,420.8952696323395,264.2136495113373,0.09090909090909091,0.0,0.0,0.0,0.5,24
PyGenProg,middle,1,1,sequential,V,50,50,1,10,11,100,3.4331130981445312,390.8837547302246,250.43202662467957,0.09090909090909091,0.0,0.0,0.0,0.5,24
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,2.8488006591796875,371.37693428993225,240.68182754516602,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,3.0366363525390625,461.96063685417175,323.7594859600067,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,3.2237656116485596,519.0778548717499,328.7988450527191,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,2.875103235244751,568.5842719078064,245.5587775707245,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,1,sequential,C,5,5,0,0,10,10,1.286698818206787,253.23122358322144,148.4422948360443,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,1,1,sequential,C,10,10,0,0,20,20,1.6635112762451172,342.0801544189453,142.32734394073486,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,1,1,sequential,C,30,30,0,0,60,60,1.7969839572906494,344.5369794368744,158.0683422088623,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,1,1,sequential,C,50,50,0,0,100,100,1.385683536529541,812.5729157924652,237.75192022323608,0.09090909090909091,0.0,0.0,0.0,0.5,8
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.9068961143493652,745.6012148857117,93.65227365493774,0.9745454545454545,0.78125,1.0,0.8771929824561403,0.86,3
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,2.514434814453125,706.243732213974,150.81503868103027,0.9618181818181818,,,,,8
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.830216646194458,744.3179287910461,122.06101179122925,0.9618181818181818,0.704225352112676,1.0,0.8264462809917354,0.79,3
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,1.727632761001587,857.2430083751678,86.90018820762634,0.9618181818181818,0.704225352112676,1.0,0.8264462809917354,0.79,1
PyGenProg,middle,2,1,sequential,B,0,0,1,10,11,11,2.0127735137939453,204.0514042377472,87.14580655097961,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,1.6747560501098633,226.86008024215698,59.69288444519043,0.9890909090909091,0.8928571428571429,1.0,0.9433962264150945,0.94,1
PyGenProg,middle,2,1,sequential,F,5,5,1,10,10,11,3.394038200378418,211.08352398872375,94.93376445770264,0.9890909090909091,0.8928571428571429,1.0,0.9433962264150945,0.94,8
PyGenProg,middle,2,1,sequential,F,10,10,1,10,20,11,3.8485045433044434,211.61224150657654,85.48410153388977,0.9672727272727273,0.7352941176470589,1.0,0.8474576271186441,0.82,7
PyGenProg,middle,2,1,sequential,F,30,30,1,10,60,11,4.482793569564819,222.3238446712494,122.48357486724854,0.9290909090909091,0.5617977528089888,1.0,0.7194244604316548,0.61,11
