approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,pysnooper,2,10,sequential,B,0,0,1,1,2,2,1.1464526653289795,370.18406653404236,51.90853190422058,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,B,0,0,1,10,11,11,1.9771296977996826,356.96694135665894,53.83320426940918,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,F,5,5,1,10,10,11,2.587146043777466,313.27468395233154,72.24291014671326,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,F,10,10,1,10,20,11,2.772484064102173,319.2039153575897,83.46819472312927,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,F,30,30,1,10,60,11,3.5011916160583496,319.487224817276,86.55606627464294,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,F,50,50,1,10,100,11,4.475657224655151,372.96356177330017,77.0040271282196,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,V,5,5,1,10,11,10,2.2691738605499268,316.6696584224701,80.6311583518982,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,V,10,10,1,10,11,20,1.7927463054656982,318.2394640445709,91.94145274162292,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,V,30,30,1,10,11,60,2.0336787700653076,394.69746375083923,54.14470601081848,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,V,50,50,1,10,11,100,1.415309190750122,504.53133034706116,53.20666217803955,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,C,5,5,0,0,10,10,1.1062209606170654,299.13111686706543,53.14908695220947,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,C,10,10,0,0,20,20,1.2482938766479492,338.0316641330719,51.94933199882507,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,C,30,30,0,0,60,60,1.296154499053955,388.7568025588989,51.56570315361023,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,C,50,50,0,0,100,100,1.1174004077911377,472.9131679534912,52.14118933677673,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,3,10,sequential,B,0,0,1,1,2,2,1.1904864311218262,263.215651512146,49.128440618515015,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,3,10,sequential,B,0,0,1,10,11,11,1.201836109161377,140.73047351837158,76.55604147911072,1.0,1.0,1.0,1.0,1.0,3,1
PyGenProg,pysnooper,3,10,sequential,F,5,5,1,10,10,11,1.1629343032836914,161.73693704605103,48.73711013793945,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,F,10,10,1,10,20,11,1.4630720615386963,158.54835295677185,49.72063875198364,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,F,30,30,1,10,60,11,1.2333574295043945,161.53753542900085,47.78420948982239,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,F,50,50,1,10,100,11,1.1231164932250977,177.26542925834656,48.68618822097778,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,V,5,5,1,10,11,10,1.3567156791687012,153.2364740371704,78.52358865737915,1.0,1.0,1.0,1.0,1.0,3,1
PyGenProg,pysnooper,3,10,sequential,V,10,10,1,10,11,20,2.917461395263672,164.56285047531128,91.4709587097168,1.0,1.0,1.0,1.0,1.0,3,1
PyGenProg,pysnooper,3,10,sequential,V,30,30,1,10,11,60,1.66434907913208,162.11605548858643,72.22179317474365,1.0,1.0,1.0,1.0,1.0,3,1
PyGenProg,pysnooper,3,10,sequential,V,50,50,1,10,11,100,4.696400165557861,174.63277673721313,77.07394504547119,1.0,1.0,1.0,1.0,1.0,3,1
PyGenProg,pysnooper,3,10,sequential,C,5,5,0,0,10,10,1.3802964687347412,195.38664078712463,69.74282455444336,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,C,10,10,0,0,20,20,1.4133789539337158,190.68116688728333,56.28993606567383,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,C,30,30,0,0,60,60,1.3218567371368408,241.18617224693298,47.88687801361084,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,C,50,50,0,0,100,100,1.4301347732543945,241.50550198554993,60.96328687667847,1.0,1.0,1.0,1.0,1.0,1,1
