approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,1,sequential,B,0,0,1,10,11,11,1.5778846740722656,293.473388671875,213.5833387374878,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,1,1,sequential,F,5,5,1,10,10,11,1.6460087299346924,464.7511508464813,282.6555507183075,0.09090909090909091,0.0,0.0,0.0,0.5,25
PyGenProg,middle,1,1,sequential,F,10,10,1,10,20,11,1.5191078186035156,318.5091037750244,263.09849858283997,1.0,1.0,1.0,1.0,1.0,21
PyGenProg,middle,1,1,sequential,F,30,30,1,10,60,11,1.9657104015350342,456.78567266464233,284.38649010658264,0.09090909090909091,0.0,0.0,0.0,0.5,26
PyGenProg,middle,1,1,sequential,F,50,50,1,10,100,11,1.7305099964141846,359.9857802391052,322.62423062324524,0.09090909090909091,0.0,0.0,0.0,0.5,25
PyGenProg,middle,1,1,sequential,V,5,5,1,10,11,10,1.5328764915466309,250.74232959747314,163.9227533340454,0.09090909090909091,0.0,0.0,0.0,0.5,9
PyGenProg,middle,1,1,sequential,V,10,10,1,10,11,20,1.6966686248779297,280.2661602497101,185.20306944847107,0.09090909090909091,0.0,0.0,0.0,0.5,9
PyGenProg,middle,1,1,sequential,V,30,30,1,10,11,60,1.7996063232421875,291.2699685096741,165.78059005737305,0.09090909090909091,0.0,0.0,0.0,0.5,9
PyGenProg,middle,1,1,sequential,V,50,50,1,10,11,100,1.6689302921295166,294.61515522003174,188.66105580329895,0.09090909090909091,0.0,0.0,0.0,0.5,9
PyGenProg,middle,1,1,sequential,C,5,5,0,0,10,10,1.7184338569641113,321.9369661808014,163.435688495636,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,1,1,sequential,C,10,10,0,0,20,20,1.6670680046081543,316.79888796806335,173.23826551437378,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,1,1,sequential,C,30,30,0,0,60,60,1.1302568912506104,273.08393454551697,69.81785416603088,1.0,1.0,1.0,1.0,1.0,1
PyGenProg,middle,1,1,sequential,C,50,50,0,0,100,100,1.1956562995910645,307.6617693901062,118.6723062992096,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,1.2820208072662354,347.6604540348053,109.71814703941345,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,2.1197237968444824,367.31200790405273,218.92208290100098,0.09090909090909091,0.0,0.0,0.0,0.5,16
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,1.5820813179016113,406.67252230644226,254.77533864974976,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.4857048988342285,441.2977592945099,336.44549226760864,0.09090909090909091,0.0,0.0,0.0,0.5,26
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.4565956592559814,380.9001703262329,275.24400520324707,0.09090909090909091,0.0,0.0,0.0,0.5,25
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,1.1696746349334717,369.7809121608734,251.6243176460266,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,13
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,1.520186424255371,390.97839856147766,249.8291003704071,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,13
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,1.6902332305908203,460.95584082603455,202.58385300636292,0.09090909090909091,0.0,0.0,0.0,0.5,13
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,1.688490390777588,532.3174006938934,186.3084056377411,0.09090909090909091,0.0,0.0,0.0,0.5,13
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.670581340789795,510.2591435909271,185.31639099121094,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,21
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,1.4828822612762451,809.6444647312164,97.75627732276917,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.5378308296203613,769.7998356819153,145.2321240901947,1.0,1.0,1.0,1.0,1.0,1
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,2.7010645866394043,540.9722988605499,138.27546906471252,0.09090909090909091,0.0,0.0,0.0,0.5,2
PyGenProg,middle,2,1,sequential,B,0,0,1,10,11,11,2.534935235977173,352.79862213134766,114.03501868247986,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,2,1,sequential,F,5,5,1,10,10,11,2.312551259994507,306.8361973762512,156.7737259864807,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,6
PyGenProg,middle,2,1,sequential,F,10,10,1,10,20,11,2.4469168186187744,367.5707631111145,162.62250447273254,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,9
PyGenProg,middle,2,1,sequential,F,30,30,1,10,60,11,2.839749574661255,324.9627285003662,154.27416706085205,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,8
PyGenProg,middle,2,1,sequential,F,50,50,1,10,100,11,2.3604679107666016,350.555317401886,157.4605848789215,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,8
PyGenProg,middle,2,1,sequential,V,5,5,1,10,11,10,2.773465871810913,332.55036211013794,150.36998295783997,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,V,10,10,1,10,11,20,2.0609705448150635,301.93507981300354,94.75283455848694,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,V,30,30,1,10,11,60,2.5103654861450195,330.82566928863525,144.23722100257874,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,V,50,50,1,10,11,100,2.0536434650421143,371.82038283348083,160.52155327796936,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,C,5,5,0,0,10,10,2.26056170463562,382.1128280162811,151.57963395118713,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,C,10,10,0,0,20,20,2.971313714981079,345.3526086807251,72.14118599891663,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,2,1,sequential,C,30,30,0,0,60,60,2.6672070026397705,348.1082589626312,116.16789078712463,0.09090909090909091,0.0,0.0,0.0,0.5,1
PyGenProg,middle,2,1,sequential,C,50,50,0,0,100,100,2.5837104320526123,358.8928027153015,110.54135036468506,0.09090909090909091,0.0,0.0,0.0,0.5,1
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,2.378985643386841,347.1241047382355,113.37207174301147,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
