approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,1.0104875564575195,244.00434470176697,55.43655014038086,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.9201698303222656,344.2762930393219,71.78711247444153,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,7
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,0.9643006324768066,330.75579142570496,61.18858814239502,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,7
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.9029037952423096,326.0959823131561,54.80326533317566,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,7
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.8674252033233643,374.7797181606293,51.77954411506653,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,9
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.063814640045166,372.30790638923645,57.21209383010864,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,9
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.7917437553405762,186.08171272277832,55.65614342689514,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.9253261089324951,212.6273262500763,52.29588270187378,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.7942523956298828,495.8538107872009,56.61403203010559,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,18,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.9961917400360107,443.99373149871826,61.7363646030426,1.0,1.0,1.0,1.0,1.0,1,9
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.9318883419036865,187.2841386795044,52.69685220718384,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.9482083320617676,220.25109434127808,53.59699535369873,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.8236496448516846,234.45966410636902,51.027961015701294,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,1.01478910446167,784.8644466400146,54.50718855857849,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,35,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,1.0180096626281738,340.01999855041504,53.700204849243164,1.0,1.0,1.0,1.0,1.0,45,10
