approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,2.998018980026245,760.7629058361053,96.6542375087738,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,39,10
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,2.75665283203125,545.4171087741852,74.1094970703125,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,1.3332996368408203,685.655882358551,124.02876996994019,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,7,10
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,2.952115058898926,394.19606471061707,73.2612144947052,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.2586092948913574,681.5493686199188,71.15432047843933,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,9,10
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.3052189350128174,774.349446773529,119.16422033309937,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,23,10
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,3.1155292987823486,824.4374859333038,88.28960347175598,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,39,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,2.824928045272827,750.0508496761322,312.96651434898376,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,36,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,2.9069814682006836,849.2620949745178,128.7184340953827,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,3,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,2.951321601867676,1023.501503944397,119.98515629768372,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,4,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.4503743648529053,1133.8602969646454,127.37820482254028,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,4,10
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,3.055424690246582,492.00276350975037,70.43653702735901,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.3169443607330322,1175.4799556732178,160.77618050575256,1.0,1.0,1.0,1.0,1.0,1,10
